暫定ID,タイトル,ステージ,難易度,書誌URL,1ページ目URL,コマ数,請求番号,文書番号,コンテンツデータURL,主題別,資料種別,災害種別,災害名（地震・津波）,画像データ有無,コレクション名1,タイトル,タイトル（かな）,頁数,大きさ,出版社等,出版年（西暦年月日）,キーワード,備考,刊行方式,地域,請求番号,文書番号,ID,緯度,経度,緯度2,経度2,著者等,災害年（和暦年月日）,災害年（西暦年月日）,災害年（西暦年月日）データ,災害年（西暦年月日）終了,災害年（西暦年月日）終了データ,地名,災害名（火山）,既刊史料集,所蔵元
L001185,十二ヶ国大地しんくどき,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001185,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/008/000008687.jpg,4,01.001-1,石本文庫32-2,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001185,01.地震,03.文書,01.地震・津波,272.濃尾地震（明治24 年10 月28日）[1891年],有,01.和古書類,十二ヶ国大地しんくどき,じゅうにかこくおおじしんくどき,4,15.9×11.1,吉田栄吉（東京バクロ丁三丁目）,,,4紙（綴じ糸欠）　上・下合冊　下巻の書名：大地しんおすへいくどき　絵図あり　明治24年11月出版届　文書番号石本文庫32-1は版が異なる　「高橋氏」と墨書あり,木版,20.富山（越中）21.石川（加賀．能登）22.福井（越前．若狭）24.山梨（甲斐）25.長野（信濃）26.岐阜（美濃．飛騨）27.静岡（駿河．遠江．伊豆）28.愛知（尾張．三河）29.三重（伊勢．伊賀．志摩）31.滋賀（近江）32.京都（山城．丹波．丹後）33.大阪（摂津．和泉．河内）,01.001-1,石本文庫32-2,L001185,,,,,,明治24年10月28日,18911028,1891年10月28日,18911028,1891年10月28日,,,,東京大学地震研究所図書室
L000011,地震並出火細見記,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000011,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/008/000008965.jpg,12,01.001-2,石本文庫36,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000011,01.地震04.火事,02.古文書04.災害絵地図,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,地震並出火細見記,じしんならびにしゅっかさいけんき,11（含表紙）,17.8×12.0,,,編年史料,和綴　1冊　安政大地震の類焼・倒壊被害　絵図あり　末尾に「往古より今安政二卯迄大地震津浪等古書にあるを記す」として白鳳5年から嘉永7年までの大地震・津波の一覧を載せる　　蔵書印あり（東京帝国大学図書・石本文庫）　文書番号1071と同一,木版（多色刷）,15.東京,01.001-2,石本文庫36,L000011,35.689488,139.691706,35.689488,139.691706,石野美満子 編,安政2年10月2日,,,,,,,,東京大学地震研究所図書室
L000012,鎮火用心集　全,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000012,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/008/000008977.jpg,31,01.001-2,石本文庫38,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000012,04.火事,02.古文書,,,有,01.和古書類,鎮火用心集　全,ちんかようじんしゅう　ぜん,30（含表紙）,16.0×11.0,本石町四丁目大槙町本清板,1803,,和綴　1冊　内題：回録用心集　火の用心について　蔵書印あり（水倉文庫・東京帝国大学図書・石本文庫）,木版,,01.001-2,石本文庫38,L000012,,,,,,,,,,,,,,東京大学地震研究所図書室
L000013,防火要鎮土　附大火年月考　全,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000013,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009008.jpg,26,01.001-2,石本文庫39A,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000013,04.火事,02.古文書,,,有,01.和古書類,防火要鎮土　附大火年月考　全,ぼうかようじんつち　つけたりたいかねんげつこう　ぜん,25（含表紙）,21.2×13.3,,1829,,和綴　1冊　火の用心について　蔵書印あり（東京帝国大学図書・石本文庫）　文書番号石本文庫39Bと同じ,木版,15.東京,01.001-2,石本文庫39A,L000013,,,,,司馬の屋よし門（新日吉御所内東都将監橋）,,,,,,江戸 / 吉原 / 三芝居（堺町・葺屋町・木挽町）,,,東京大学地震研究所図書室
L000014,［善光寺地震被害書上］,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000014,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009060.jpg,9,01.001-2,石本文庫41,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000014,01.地震05.洪水,02.古文書,01.地震・津波,228.善光寺地震（弘化4年3月24日）［1847年5月8日］,有,01.和古書類,［善光寺地震被害書上］,[ぜんこうじじしんひがいかきあげ],3（除表紙）+折込図1,27.8×20.0,,,,和綴　1冊　信濃国松代郡善光寺周辺の被害書上の写し　絵図あり,筆写本,25.長野（信濃）,01.001-2,石本文庫41,L000014,,,,,真田信濃守,弘化4年3月24日,,,,,,,,東京大学地震研究所図書室
L000015,奥州すじ大つなみおおあれくどき,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000015,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009069.jpg,7,01.001-2,石本文庫42A,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000015,01.地震03.津波,03.文書,01.地震・津波,281.明治三陸地震津波（明治29 年6 月15日）[1896年],有,01.和古書類,奥州すじ大つなみおおあれくどき,おうしゅうすじおおつなみおおあれくどき,4（除表紙）,14.6×10.6,藤倉亀三郎（北埼玉郡須影村大字下川﨑四十八番地）,1896,,和綴　1冊　上・下合冊　下巻の書名：大つなみくどき　絵図あり　蔵書印あり（東京帝国大学図書・石本文庫）　文書番号石本文庫42Bとは奥付情報が異なるが、1・3丁は同文、2・4丁は異なる,木版,01.北海道地方（蝦夷）02.東北地方（奥羽）,01.001-2,石本文庫42A,L000015,,,,,藤倉亀三郎（北埼玉郡須影村大字下川﨑四十八番地）,明治29年6月15日,18960615,1896年06月15日,18960615,1896年06月15日,,,,東京大学地震研究所図書室
L000016,岩手ケン宮城青森海嘯しんぶん,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000016,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009081.jpg,7,01.001-2,石本文庫43,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000016,03.津波,03.文書,01.地震・津波,281.明治三陸地震津波（明治29 年6 月15日）[1896年],有,01.和古書類,岩手ケン宮城青森海嘯しんぶん,いわてけんみやぎあおもりつなみしんぶん,4（除表紙）,16.6×11.9,印刷発行兼者　平民　川シマ奥治郎（サイタマケン南サイタマ郡和土村十五バンチ）,1896,,和綴　1冊　絵図あり　蔵書印あり（東京帝国大学図書・石本文庫）,木版,03.青森（陸奥）04.岩手（陸中）05.宮城（陸前）,01.001-2,石本文庫43,L000016,,,,,,明治29年6月15日,18960615,1896年06月15日,18960615,1896年06月15日,,,,東京大学地震研究所図書室
L000017,三陸海嘯細見,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000017,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009088.jpg,11,01.001-2,石本文庫44,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000017,03.津波,03.文書,01.地震・津波,281.明治三陸地震津波（明治29 年6 月15日）[1896年],有,01.和古書類,三陸海嘯細見,さんりくつなみさいけん,8（除表紙）,18.5×12.9,鈴木甚吉（山形縣山形市大字七日町字柳町五百八十七番地）,1896,,和綴　1冊　絵図あり　表紙のみ木版ヵ　蔵書印あり（東京帝国大学図書・石本文庫）,活字版,03.青森（陸奥）04.岩手（陸中）05.宮城（陸前）,01.001-2,石本文庫44,L000017,,,,,佐久間喜六（山形縣山形市大字七日町字柳町二百二十二番地） 編輯,明治29年6月15日,18960615,1896年06月15日,18960615,1896年06月15日,,,,東京大学地震研究所図書室
L000018,天明三癸卯七月信州浅間山焼出シ上州山津浪ニ付近國ヨリ御届書并訴書写,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000018,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009099.jpg,27,01.001-2,石本文庫45,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000018,02.火山,03.文書,02.火山,,有,01.和古書類,天明三癸卯七月信州浅間山焼出シ上州山津浪ニ付近國ヨリ御届書并訴書写,てんめいさんみずのとうしちがつ　しんしゅうあさまやまやけだし　じょうじゅうやまつなみにつききんごくよりおとどけがきならびにうったえがきうつし,25（除表紙）,24.8×17.5,,1900,,和綴　1冊　茨城縣猿島郡古河町大字悪戸新田　小堀豊吉氏所蔵史料を借用し写したもの　利根川治水協會録事根岸祐吉による奥書あり　蔵書印あり（利根川治水協會）,筆写本,12.群馬（上野）25.長野（信濃）,01.001-2,石本文庫45,L000018,,,,,利根川治水協會,天明3年7月7日,,,,,,1783.浅間山（天明3年）[1783年],,東京大学地震研究所図書室
L000019,天明三卯年七月　浅間山焼注進写,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000019,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009126.jpg,17,01.001-2,石本文庫46,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000019,02.火山,02.古文書,02.火山,,有,01.和古書類,天明三卯年七月　浅間山焼注進写,てんめいさんうのとししちがつあさまやまやけちゅうしんうつし,15（除表紙）,24.2×17.2,,,,和綴　1冊　天明3年の浅間山噴火について村方よりの注進を写したもの,筆写本,12.群馬（上野）13.埼玉（武蔵）15.東京25.長野（信濃）,01.001-2,石本文庫46,L000019,,,,,邑山 筆写,天明3年,,,,,,1783.浅間山（天明3年）[1783年],,東京大学地震研究所図書室
L000020,信州浅間山焼,1,中,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000020,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009143.jpg,10,01.001-2,石本文庫47,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000020,02.火山,02.古文書,02.火山,,有,01.和古書類,信州浅間山焼,しんしゅうあさまやまやけ,7（含表紙）+折込図1,24.0×17.1,,,,和綴　1冊　天明浅間噴火を伝える書状の写　絵図あり（彩色）,筆写本,12.群馬（上野）25.長野（信濃）,01.001-2,石本文庫47,L000020,,,,,,天明3年,,,,,,1783.浅間山（天明3年）[1783年],,東京大学地震研究所図書室
L000021,浅間記,1,中,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000021,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009153.jpg,29,01.001-2,石本文庫48,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000021,11.その他,02.古文書,,,有,01.和古書類,浅間記,あさまき,28（含表紙）,24.0×17.2,,,,和綴　1冊　富士浅間神社にまつわる長者伝説　蔵書印あり（東京帝国大学図書・石本文庫）,筆写本,,01.001-2,石本文庫48,L000021,,,,,,,,,,,,,,東京大学地震研究所図書室
L001186,奥州すじ大つなみおおあれくどき,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001186,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009076.jpg,5,01.001-2,石本文庫42B,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001186,03.津波,03.文書,01.地震・津波,281.明治三陸地震津波（明治29 年6 月15日）[1896年],有,01.和古書類,奥州すじ大つなみおおあれくどき,おうしゅうすじおおつなみおおあれくどき,4（含表紙）,15.8×10.9,,1895,,和綴　1冊　上・下合冊　下巻の書名：大つなみくどき　絵図あり　内容が明治三陸地震津波であり、且つ1・3丁目は文書番号石本文庫42Aと同じため発行年は誤まりヵ,木版,01.北海道地方（蝦夷）02.東北地方（奥羽）,01.001-2,石本文庫42B,L001186,,,,,荻野善吉（埼玉縣榛沢郡深谷町百廿二番地） 著作印刷兼発行,明治29年6月15日,18960615,1896年06月15日,18960615,1896年06月15日,,,,東京大学地震研究所図書室
L001197,防火要鎮土　附大火年月考　全,1,低,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001197,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009034.jpg,26,01.001-2,石本文庫39B,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001197,04.火事,02.古文書,,,有,01.和古書類,防火要鎮土　附大火年月考　全,ぼうかようじんつち　つけたりたいかねんげつこう　ぜん,25（含表紙）,21.2×13.3,,1829,,和綴　1冊　火の用心について　文書番号石本文庫39Aと同じ　蔵書印あり（羽前白岩［　］蔵書・東京帝国大学図書・石本文庫）,木版,15.東京,01.001-2,石本文庫39B,L001197,,,,,司馬の屋よし門（新日吉御所内東都将監橋）,,,,,,江戸 / 吉原 / 三芝居（堺町・葺屋町・木挽町）,,,東京大学地震研究所図書室
L000022,浅間大焼騒動記　上,1,中,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000022,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009182.jpg,40,01.001-3,石本文庫49-1,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000022,02.火山,02.古文書,02.火山,,有,01.和古書類,浅間大焼騒動記　上,あさまおおやけそうどうき　じょう,37（除表紙）,23.5×15.5,,,,和綴　1冊（3冊の内）　内題：浅間山焼物語　巻之一　講談仕立の浅間噴火記　蔵書印あり（印文不詳）　文書番号石本文庫49-2，同49-3と一具,筆写本,,01.001-3,石本文庫49-1,L000022,,,,,京都三条堀川　隠遁頑最 記,天明3年,,,,,,1783.浅間山（天明3年）[1783年],,東京大学地震研究所図書室
L000023,浅間大焼騒動記　中,1,中,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000023,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/009/000009222.jpg,40,01.001-3,石本文庫49-2,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000023,02.火山,02.古文書,02.火山,,有,01.和古書類,浅間大焼騒動記　中,あさまおおやけそうどうき　ちゅう,37（除表紙）,23.5×15.5,,,,和綴　1冊（3冊の内）　内題：浅間大焼騒動記　中　講談仕立の浅間噴火記　蔵書印あり（印文不詳）　文書番号石本文庫49-1，同49-3と一具,筆写本,,01.001-3,石本文庫49-2,L000023,,,,,京都三条堀川　隠遁頑最 記,天明3年,,,,,,1783.浅間山（天明3年）[1783年],,東京大学地震研究所図書室
